PointID,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Mineral
Sample1_pt54,37.39,0.16,20.99,0,21.58,8.22,1.17,10.81,Garnet
Sample1_pt55,37.69,0.13,21.1,0.01,21.88,8.43,1.23,10.05,Garnet
Sample1_pt56,37.92,0.13,21.55,0.02,21.89,7.92,1.32,10.35,Garnet
Sample1_pt57,36.9,0.12,20.78,0.07,21.3,7.44,1.27,10.81,Garnet
Sample1_pt58,37.26,0.14,20.68,0.03,22.33,7.35,1.29,10.18,Garnet
Sample1_pt59,37.45,0.46,20.59,0.08,21.91,6.67,1.3,11.23,Garnet
Sample1_pt60,37.7,0.08,20.93,0.04,22.96,6.15,1.25,10.91,Garnet
Sample1_pt61,37.34,0.27,21.06,0.07,25.14,2.96,1.38,11.54,Garnet
Sample1_pt62,37.66,0.07,21.1,0.12,25.94,2.77,1.38,11.2,Garnet
Sample1_pt63,37.63,0.28,20.9,0.05,25.1,2.61,1.44,11.52,Garnet
Sample1_pt64,37.62,0.29,21.26,0.06,25.43,2.69,1.44,11.67,Garnet
Sample1_pt65,37.73,0.21,21.12,0.09,25.78,2.56,1.41,11.63,Garnet
Sample1_pt66,37.97,1.92,20.48,0.04,24.25,2.41,1.4,12.15,Garnet
Sample1_pt67,37.39,0.13,21.08,0,25.42,2.53,1.39,11.38,Garnet
Sample1_pt68,37.29,0.1,20.98,0.03,25.65,2.52,1.52,11.21,Garnet
Sample1_pt69,37.38,0.14,20.88,0.1,25.64,2.6,1.44,11.37,Garnet
Sample1_pt70,37.8,0.13,21.34,0.09,25.54,2.42,1.46,11.27,Garnet
Sample1_pt71,37.54,0.14,21,0.07,24.94,2.5,1.4,12.02,Garnet
Sample1_pt72,37.84,0.18,20.99,0.04,24.81,2.51,1.31,12.27,Garnet
Sample1_pt73,37.49,0.07,21.3,0.09,25.12,2.55,1.43,11.8,Garnet
Sample1_pt74,38.13,0.14,21.43,0.06,25.13,2.65,1.37,11.71,Garnet
Sample1_pt75,36.96,0.14,20.94,0.1,24.63,2.52,1.31,12.27,Garnet
Sample1_pt76,37.45,0.1,21.22,0.05,25.58,2.63,1.42,11.18,Garnet
Sample1_pt77,37.43,0.12,20.85,0.05,25.82,2.87,1.42,10.9,Garnet
Sample1_pt78,37.54,0.13,21.26,0.09,25.89,3.07,1.51,11.14,Garnet
Sample1_pt79,37.21,0.17,20.93,0.07,25.53,2.88,1.45,11.16,Garnet
Sample1_pt80,37.26,0.17,20.93,0.06,25.83,3,1.38,11.03,Garnet
Sample1_pt81,37.81,0.05,20.96,0.07,26.23,3.05,1.51,10.63,Garnet
Sample1_pt82,37.68,0.13,21.26,0,25.32,3.64,1.5,10.55,Garnet
Sample1_pt83,37.64,0.04,20.81,0.03,25.65,3.52,1.8,9.9,Garnet
Sample1_pt84,37.49,0.21,21.33,0.08,26.32,3.71,1.71,9.97,Garnet
Sample1_pt85,37.48,0.21,21.12,0.07,24.63,3.52,1.72,10.94,Garnet
Sample1_pt86,37.56,0.16,20.97,0.07,24.75,3.92,1.53,10.61,Garnet
Sample1_pt87,37.74,0.15,20.91,0.07,25.2,3.77,1.59,10.38,Garnet
Sample1_pt88,37.6,0.13,20.74,0,24.73,3.38,1.51,10.84,Garnet
Sample1_pt89,37.39,0.08,21.07,0.06,25.98,3.82,1.71,9.82,Garnet
Sample1_pt90,37.83,0.16,21.28,0.03,25.62,3.67,1.65,10.38,Garnet
Sample1_pt91,37.37,0.12,21.19,0.05,25.86,3.58,1.77,9.82,Garnet
Sample1_pt92,37.61,0.04,21.2,0.06,25.74,3.2,1.6,10.26,Garnet
Sample1_pt93,37.62,0.16,20.83,0.07,25.74,3.29,1.7,10.1,Garnet
Sample1_pt94,37.34,0.25,21.12,0.09,25.33,3,1.75,10.63,Garnet
Sample1_pt95,37.62,0.24,21.09,0.02,25.78,3.03,1.96,10.04,Garnet
Sample1_pt96,37.59,0.21,21.07,0.03,26.31,2.73,2.1,9.78,Garnet
Sample1_pt97,37.84,0.14,20.85,0.12,25.93,2.4,1.91,10.06,Garnet
Sample1_pt98,37.47,0.16,21.13,0.13,25.92,2.23,1.95,10.49,Garnet
Sample1_pt99,37.91,0.16,21.44,0.05,26.23,2.27,1.92,10.37,Garnet
Sample1_pt100,37.83,0.16,21.6,0.03,26.69,1.9,1.89,10.33,Garnet
Sample1_pt101,37.59,0.17,21.37,0.04,26.51,1.86,1.91,10.42,Garnet
Sample1_pt102,37.95,0.2,21.19,0,27.31,1.89,2.05,9.7,Garnet
Sample1_pt103,37.71,0.16,21.47,0.06,26.9,1.49,1.97,10.7,Garnet
Sample1_pt104,38.22,0.12,21.22,0.06,27.24,1.46,2.17,9.79,Garnet
Sample1_pt105,38.1,0.11,21.18,0.03,27.09,1.31,2.15,10.65,Garnet
Sample1_pt106,37.88,0.11,21.24,0.05,27.51,1.06,2.3,10.26,Garnet
Sample1_pt107,37.57,0.22,21.26,0.08,26.73,0.87,2.31,10.65,Garnet
Sample1_pt108,38.21,0.08,21.61,0.06,27.51,0.78,2.34,10.23,Garnet
Sample1_pt109,37.68,0.06,21.51,0.06,26.69,0.62,2.41,10.82,Garnet
Sample1_pt110,37.73,0.05,21.2,0.09,26.63,0.67,2.52,10.37,Garnet
Sample1_pt111,38.22,0.14,21.67,0.09,26.32,0.74,2.57,11.27,Garnet
Sample1_pt112,38.25,0.12,21.59,0.01,26.46,0.91,2.96,10.22,Garnet
Sample1_pt113,38.27,0.03,21.82,0.07,27.2,0.64,2.91,10.04,Garnet
Sample1_pt114,38.48,0.05,21.78,0.06,25.96,0.77,3.11,10.39,Garnet
Sample1_pt115,37.92,0.11,21.06,0.04,27.15,0.47,3.01,10.22,Garnet
Sample1_pt116,38.24,0.12,21.34,0.02,26.7,0.49,2.96,10.51,Garnet
Sample1_pt117,37.76,0.12,21.09,0.05,26.92,0.57,2.76,10.7,Garnet
Sample1_pt118,37.81,0.09,21.09,0,27.99,0.36,2.74,9.61,Garnet
